parallel algorithm, hillis-steele,32,111111111,0.486840
parallel algorithm, MPI Exscan,64,111111111,0.602369
parallel algorithm, hillis-steele,64,111111111,0.605232
parallel algorithm, MPI Exscan,128,111111111,0.895926
parallel algorithm, hillis-steele,128,111111111,0.820181
parallel algorithm, MPI Exscan,256,111111111,1.496794
parallel algorithm, hillis-steele,256,111111111,1.545939
parallel algorithm, MPI Exscan,511,111111111,2.395548
parallel algorithm, hillis-steele,511,111111111,2.649636
parallel algorithm, MPI Exscan,512,111111111,2.644568
parallel algorithm, hillis-steele,512,111111111,2.487222
sequential reference,1,1000000000,10.076946
parallel algorithm, MPI Exscan,8,1000000000,5.221883
parallel algorithm, hillis-steele,8,1000000000,4.980969
parallel algorithm, MPI Exscan,16,1000000000,3.749612
parallel algorithm, hillis-steele,16,1000000000,3.808229
parallel algorithm, MPI Exscan,32,1000000000,3.326289
parallel algorithm, hillis-steele,32,1000000000,3.498428
parallel algorithm, MPI Exscan,64,1000000000,3.242093
parallel algorithm, hillis-steele,64,1000000000,3.106151
parallel algorithm, MPI Exscan,128,1000000000,3.386065
parallel algorithm, hillis-steele,128,1000000000,3.464212
parallel algorithm, MPI Exscan,256,1000000000,7.101764
parallel algorithm, hillis-steele,256,1000000000,7.065447
parallel algorithm, MPI Exscan,511,1000000000,27.272606
parallel algorithm, hillis-steele,511,1000000000,23.509385
parallel algorithm, MPI Exscan,512,1000000000,30.725877
parallel algorithm, hillis-steele,512,1000000000,26.473890
sequential reference,1,10,0.000002
parallel algorithm, MPI Exscan,8,10,0.043560
parallel algorithm, hillis-steele,8,10,0.042214
parallel algorithm, MPI Exscan,16,10,0.073158
parallel algorithm, hillis-steele,16,10,0.044102
parallel algorithm, MPI Exscan,32,10,0.144033
parallel algorithm, hillis-steele,32,10,0.052119
parallel algorithm, MPI Exscan,64,10,0.277293
parallel algorithm, hillis-steele,64,10,0.065531
parallel algorithm, MPI Exscan,128,10,0.237935
parallel algorithm, hillis-steele,128,10,0.093130
parallel algorithm, MPI Exscan,256,10,0.202514
parallel algorithm, hillis-steele,256,10,0.139279
parallel algorithm, MPI Exscan,511,10,0.227358
parallel algorithm, hillis-steele,511,10,0.177919
parallel algorithm, MPI Exscan,512,10,0.329185
parallel algorithm, hillis-steele,512,10,0.232041
sequential reference,1,100,0.000004
parallel algorithm, MPI Exscan,8,100,0.047096
parallel algorithm, hillis-steele,8,100,0.038045
parallel algorithm, MPI Exscan,16,100,0.084749
parallel algorithm, hillis-steele,16,100,0.077282
parallel algorithm, MPI Exscan,32,100,0.153502
parallel algorithm, hillis-steele,32,100,0.144946
parallel algorithm, MPI Exscan,64,100,0.322002
parallel algorithm, hillis-steele,64,100,0.288988
parallel algorithm, MPI Exscan,128,100,0.246363
parallel algorithm, hillis-steele,128,100,0.083716
parallel algorithm, MPI Exscan,256,100,0.188272
parallel algorithm, hillis-steele,256,100,0.148012
parallel algorithm, MPI Exscan,511,100,0.193667
parallel algorithm, hillis-steele,511,100,0.195508
parallel algorithm, MPI Exscan,512,100,0.378844
parallel algorithm, hillis-steele,512,100,0.223502
sequential reference,1,1000000,0.011211
parallel algorithm, MPI Exscan,8,1000000,0.044389
parallel algorithm, hillis-steele,8,1000000,0.042191
parallel algorithm, MPI Exscan,16,1000000,0.085720
parallel algorithm, hillis-steele,16,1000000,0.075879
parallel algorithm, MPI Exscan,32,1000000,0.153897
parallel algorithm, hillis-steele,32,1000000,0.150657
parallel algorithm, MPI Exscan,64,1000000,0.319262
parallel algorithm, hillis-steele,64,1000000,0.296243
parallel algorithm, MPI Exscan,128,1000000,0.586485
parallel algorithm, hillis-steele,128,1000000,0.607110
parallel algorithm, MPI Exscan,256,1000000,1.177548
parallel algorithm, hillis-steele,256,1000000,1.217564
parallel algorithm, MPI Exscan,511,1000000,2.456282
parallel algorithm, hillis-steele,511,1000000,2.471809
parallel algorithm, MPI Exscan,512,1000000,2.401526
